file_name,device_info_serial,date_time,index,speed_2d,prediction,confidence,altitude,temperature,runtime,model,inPark,longitude,latitude,WENT_BACK,counttime,temp_diff,time_diff,tempchange,temp_drop_flag,feeding_event
5557_2024-06-19 00:57:23_2024-06-19 04:04:13.csv,5557,2024-06-19T03:45:37Z,0,9.806,Flap,0.98,15,26.6,2025-05-21T11:04:49Z,45_best,0,4.5742435,52.4713197,1,1718768737,-3.1999999999999993,895,-0.003575418994413407,1,1
5557_2024-06-26 00:02:40_2024-06-26 01:25:35.csv,5557,2024-06-26T01:11:44Z,0,0.6674,SitStand,0.48,0,19.7,2025-05-21T11:04:38Z,45_best,0,4.4894472,52.4965561,1,1719364304,-8.3,140,-0.05928571428571429,1,1
5557_2024-06-29 00:25:40_2024-06-29 01:56:20.csv,5557,2024-06-29T01:30:40Z,0,9.7821,Flap,0.99,1,29.6,2025-05-21T11:04:32Z,45_best,0,4.4781858,52.550421299999996,1,1719624640,-3.1999999999999957,138,-0.02318840579710142,1,1
5557_2024-07-08 19:03:07_2024-07-08 20:05:30.csv,5557,2024-07-08T19:31:54Z,0,8.5179,Flap,0.99,12,26.1,2025-05-21T11:04:15Z,45_best,0,4.4186398,52.5487737,1,1720467114,-2.3999999999999986,288,-0.008333333333333328,1,1
5557_2024-07-13 00:01:21_2024-07-13 00:45:20.csv,5557,2024-07-13T00:06:09Z,0,10.7678,Flap,0.99,5,28.3,2025-05-21T11:03:58Z,45_best,0,4.5011722,52.5487594,1,1720829169,-3.099999999999998,288,-0.010763888888888882,1,1
5579_2024-05-01 19:08:41_2024-05-01 20:20:23.csv,5579,2024-05-01T19:13:38Z,0,12.2468,Flap,0.99,37,26.5,2025-05-21T10:57:43Z,45_best,0,4.4862853,52.4657544,1,1714590818,-2.8999999999999986,297,-0.00976430976430976,1,1
5579_2024-05-05 19:22:44_2024-05-05 21:24:34.csv,5579,2024-05-05T19:43:05Z,0,1.4669,Pecking,0.26,-2,17.6,2025-05-21T10:57:36Z,45_best,0,4.3437408,52.4405889,1,1714938185,-5,6,-0.8333333333333334,1,1
5579_2024-05-08 19:02:21_2024-05-08 20:22:33.csv,5579,2024-05-08T19:28:54Z,0,0.5493,Float,0.99,2,18.5,2025-05-21T10:57:30Z,45_best,0,4.4246697,52.4846006,1,1715196534,-5.300000000000001,57,-0.09298245614035089,1,1
5579_2024-05-09 19:59:12_2024-05-09 21:31:59.csv,5579,2024-05-09T21:22:23Z,0,12.9228,Flap,1,21,24.4,2025-05-21T10:57:23Z,45_best,0,4.4633224,52.4669107,1,1715289743,-2.6000000000000014,289,-0.008996539792387548,1,1
5579_2024-06-08 15:19:54_2024-06-08 16:23:41.csv,5579,2024-06-08T15:40:43Z,0,4.8937,Flap,0.99,9,23.2,2025-05-21T10:57:03Z,45_best,0,4.4319687,52.4757551,1,1717861243,-2.8000000000000007,287,-0.009756097560975611,1,1
5579_2024-06-09 05:43:49_2024-06-09 08:01:46.csv,5579,2024-06-09T06:26:58Z,0,3.9376,Soar,0.46,-25,21.3,2025-05-21T10:56:58Z,45_best,0,4.4923594,52.5444119,1,1717914418,-3.3000000000000007,311,-0.010610932475884247,1,1
5579_2024-06-10 05:06:59_2024-06-10 06:33:35.csv,5579,2024-06-10T05:45:21Z,0,7.1471,Flap,1,8,18.6,2025-05-21T10:56:51Z,45_best,0,4.3231379,52.512808,1,1717998321,-2.5,289,-0.00865051903114187,1,1
5579_2024-06-11 05:53:41_2024-06-11 07:30:15.csv,5579,2024-06-11T06:44:51Z,0,2.3213,Flap,0.92,13,21.6,2025-05-21T10:56:46Z,45_best,0,4.4821905,52.5421282,1,1718088291,-3.599999999999998,735,-0.0048979591836734665,1,1
5579_2024-06-17 05:19:44_2024-06-17 06:51:11.csv,5579,2024-06-17T05:58:23Z,0,1.6436,Soar,0.45,6,22,2025-05-21T10:56:28Z,45_best,0,4.3030403,52.4550713,1,1718603903,-2.3000000000000007,293,-0.007849829351535838,1,1
5579_2024-06-17 17:36:11_2024-06-17 18:55:54.csv,5579,2024-06-17T18:00:57Z,0,11.6414,Flap,1,26,30,2025-05-21T10:56:34Z,45_best,0,4.5055681,52.4799688,1,1718647257,-2.3999999999999986,287,-0.008362369337979089,1,1
5579_2024-06-19 17:19:21_2024-06-19 19:25:09.csv,5579,2024-06-19T18:59:38Z,0,0.3984,Float,0.97,-8,21.9,2025-05-21T10:56:22Z,45_best,0,4.4428328,52.4339799,1,1718823578,-3.6000000000000014,290,-0.01241379310344828,1,1
5579_2024-06-24 02:11:02_2024-06-24 02:49:39.csv,5579,2024-06-24T02:16:05Z,0,6.827,Flap,0.86,2,20.3,2025-05-21T10:56:10Z,45_best,0,4.5253681,52.4281685,1,1719195365,-5.300000000000001,293,-0.01808873720136519,1,1
5579_2024-06-25 05:05:46_2024-06-25 08:47:12.csv,5579,2024-06-25T06:42:19Z,0,1.3023,SitStand,0.58,0,21.6,2025-05-21T10:56:04Z,45_best,1,4.1659908,52.3822956,1,1719297739,-6.299999999999997,290,-0.021724137931034473,1,1
