file_name,device_info_serial,start_time,end_time,inPark,WENT_BACK,feeding_event
5557_2023-06-15 20:01:58_2023-06-15 21:39:42.csv,5557,2023-06-15T20:01:58Z,2023-06-15T21:39:42Z,0,1,0
5557_2023-07-08 20:07:45_2023-07-08 21:02:25.csv,5557,2023-07-08T20:07:45Z,2023-07-08T21:02:25Z,0,1,0
5557_2023-07-10 07:19:49_2023-07-10 08:45:56.csv,5557,2023-07-10T07:19:49Z,2023-07-10T08:45:56Z,0,1,0
5557_2023-07-10 19:41:19_2023-07-10 20:29:20.csv,5557,2023-07-10T19:41:19Z,2023-07-10T20:29:20Z,0,1,0
5579_2023-06-18 13:22:06_2023-06-18 15:44:40.csv,5579,2023-06-18T13:22:06Z,2023-06-18T15:44:40Z,0,1,1
5579_2023-06-20 08:49:34_2023-06-20 14:26:36.csv,5579,2023-06-20T08:49:34Z,2023-06-20T14:26:36Z,0,0,0
5579_2023-06-24 01:22:18_2023-06-24 06:10:21.csv,5579,2023-06-24T01:22:18Z,2023-06-24T06:10:21Z,1,1,1
5579_2023-06-24 11:24:56_2023-06-24 11:57:09.csv,5579,2023-06-24T11:24:56Z,2023-06-24T11:57:09Z,0,0,0
5579_2023-06-25 04:30:01_2023-06-25 05:48:14.csv,5579,2023-06-25T04:30:01Z,2023-06-25T05:48:14Z,0,1,1
5579_2023-06-27 02:37:00_2023-06-27 04:36:44.csv,5579,2023-06-27T02:37:00Z,2023-06-27T02:54:24Z,0,1,0
5579_2023-06-28 17:51:33_2023-06-28 18:46:24.csv,5579,2023-06-28T17:51:33Z,2023-06-28T18:46:24Z,0,1,1
5579_2023-06-29 16:44:56_2023-06-29 20:03:08.csv,5579,2023-06-29T16:44:56Z,2023-06-29T20:03:08Z,0,0,0
5579_2023-07-04 16:53:35_2023-07-04 19:37:31.csv,5579,2023-07-04T16:53:35Z,2023-07-04T19:37:31Z,0,1,1
5579_2023-07-06 01:46:57_2023-07-06 02:50:23.csv,5579,2023-07-06T01:46:57Z,2023-07-06T02:50:23Z,1,1,0
5579_2023-07-09 01:59:44_2023-07-09 02:37:41.csv,5579,2023-07-09T01:59:44Z,2023-07-09T02:37:41Z,0,1,1
5579_2023-07-09 11:13:08_2023-07-09 14:00:09.csv,5579,2023-07-09T11:13:08Z,2023-07-09T14:00:09Z,1,0,0
5579_2023-07-10 02:16:29_2023-07-10 03:05:05.csv,5579,2023-07-10T02:16:29Z,2023-07-10T03:05:05Z,0,0,0
5579_2023-07-11 02:10:02_2023-07-11 03:06:29.csv,5579,2023-07-11T02:10:02Z,2023-07-11T03:06:29Z,0,1,0
5579_2023-07-13 02:31:52_2023-07-13 03:58:28.csv,5579,2023-07-13T02:31:52Z,2023-07-13T03:53:37Z,0,1,0
5579_2023-07-14 02:21:21_2023-07-14 06:14:34.csv,5579,2023-07-14T02:21:21Z,2023-07-14T06:14:34Z,1,1,1
5579_2023-07-14 18:21:55_2023-07-14 19:08:41.csv,5579,2023-07-14T18:21:55Z,2023-07-14T19:08:41Z,0,0,0
5579_2023-07-17 02:06:31_2023-07-17 05:13:04.csv,5579,2023-07-17T02:06:31Z,2023-07-17T05:13:04Z,1,1,0
5579_2023-07-18 01:50:50_2023-07-18 04:09:35.csv,5579,2023-07-18T01:50:50Z,2023-07-18T04:09:35Z,0,1,0
5579_2023-07-19 01:46:56_2023-07-19 03:51:59.csv,5579,2023-07-19T01:46:56Z,2023-07-19T03:51:59Z,0,1,0
5579_2023-07-20 01:47:52_2023-07-20 03:16:43.csv,5579,2023-07-20T01:47:52Z,2023-07-20T03:16:43Z,0,1,0
5579_2023-07-22 01:51:34_2023-07-22 03:36:56.csv,5579,2023-07-22T01:51:34Z,2023-07-22T03:36:56Z,1,1,0
5579_2023-07-24 02:15:39_2023-07-24 03:48:43.csv,5579,2023-07-24T02:20:24Z,2023-07-24T03:48:43Z,1,1,0
5579_2023-07-25 02:01:49_2023-07-25 03:07:25.csv,5579,2023-07-25T02:01:49Z,2023-07-25T03:07:25Z,0,1,0
5579_2023-07-28 03:59:14_2023-07-28 05:37:54.csv,5579,2023-07-28T04:04:02Z,2023-07-28T05:33:05Z,1,1,0
5579_2023-07-29 18:49:12_2023-07-29 20:10:59.csv,5579,2023-07-29T18:49:12Z,2023-07-29T20:10:59Z,0,1,1
5615_2023-06-13 00:04:30_2023-06-13 10:00:38.csv,5615,2023-06-13T00:04:30Z,2023-06-13T10:00:38Z,1,1,1
5615_2023-06-13 18:13:35_2023-06-13 23:58:31.csv,5615,2023-06-13T18:13:35Z,2023-06-13T23:58:31Z,0,0,0
5615_2023-06-14 19:47:06_2023-06-14 23:58:47.csv,5615,2023-06-14T19:47:06Z,2023-06-14T23:58:47Z,1,0,0
5615_2023-06-15 00:04:06_2023-06-15 05:40:00.csv,5615,2023-06-15T00:04:06Z,2023-06-15T05:40:00Z,0,1,1
5615_2023-06-15 17:19:34_2023-06-15 23:53:24.csv,5615,2023-06-15T17:19:34Z,2023-06-15T23:53:24Z,0,0,0
5615_2023-06-16 00:07:49_2023-06-16 04:58:26.csv,5615,2023-06-16T00:07:49Z,2023-06-16T04:58:26Z,0,1,1
5615_2023-06-16 16:45:01_2023-06-16 21:30:43.csv,5615,2023-06-16T16:45:01Z,2023-06-16T21:30:43Z,1,0,0
5615_2023-06-17 16:20:19_2023-06-17 23:54:47.csv,5615,2023-06-17T16:20:19Z,2023-06-17T23:54:47Z,1,0,0
5615_2023-06-18 00:05:06_2023-06-18 04:37:04.csv,5615,2023-06-18T00:05:06Z,2023-06-18T04:37:04Z,0,1,1
5615_2023-06-18 17:06:07_2023-06-18 23:58:50.csv,5615,2023-06-18T17:06:07Z,2023-06-18T23:58:50Z,0,0,0
5615_2023-06-19 00:04:16_2023-06-19 02:14:46.csv,5615,2023-06-19T00:04:16Z,2023-06-19T02:14:46Z,0,0,0
5615_2023-06-19 16:21:38_2023-06-19 23:56:13.csv,5615,2023-06-19T16:26:28Z,2023-06-19T23:56:13Z,1,0,0
5615_2023-06-20 00:01:02_2023-06-20 04:05:10.csv,5615,2023-06-20T00:01:02Z,2023-06-20T04:05:10Z,1,1,1
5615_2023-06-21 21:20:59_2023-06-21 23:55:23.csv,5615,2023-06-21T21:20:59Z,2023-06-21T23:55:23Z,0,0,0
5615_2023-06-22 00:00:11_2023-06-22 04:42:34.csv,5615,2023-06-22T00:00:11Z,2023-06-22T04:42:34Z,1,1,1
5615_2023-06-23 00:01:07_2023-06-23 04:09:36.csv,5615,2023-06-23T00:01:07Z,2023-06-23T04:09:36Z,1,0,0
5615_2023-06-23 08:50:54_2023-06-23 12:51:07.csv,5615,2023-06-23T08:50:54Z,2023-06-23T12:46:20Z,0,1,1
5615_2023-06-23 18:13:46_2023-06-23 23:55:50.csv,5615,2023-06-23T18:13:46Z,2023-06-23T23:55:50Z,0,0,0
5615_2023-06-24 00:01:24_2023-06-24 03:05:25.csv,5615,2023-06-24T00:01:24Z,2023-06-24T03:05:25Z,1,0,0
5615_2023-06-24 18:01:34_2023-06-24 23:56:14.csv,5615,2023-06-24T18:01:34Z,2023-06-24T23:56:14Z,0,0,0
5615_2023-06-26 03:55:31_2023-06-26 10:03:06.csv,5615,2023-06-26T03:55:31Z,2023-06-26T10:03:06Z,1,1,1
5615_2023-06-26 19:30:08_2023-06-26 23:57:41.csv,5615,2023-06-26T19:30:08Z,2023-06-26T23:57:41Z,1,0,0
5615_2023-06-28 00:01:39_2023-06-28 02:31:13.csv,5615,2023-06-28T00:01:39Z,2023-06-28T02:31:13Z,0,0,0
