file_name,device_info_serial,date_time,index,speed_2d,prediction,confidence,altitude,temperature,runtime,model,inPark,longitude,latitude,WENT_BACK
5557_2024-07-21 00:06:53_2024-07-21 03:20:19.csv,5557,2024-07-21T00:36:36Z,0,7.819,Flap,1,9,29.9,2025-05-21T11:03:17Z,45_best,1,4.4473438,52.5787806,0
5579_2024-06-06 18:55:39_2024-06-06 20:58:22.csv,5579,2024-06-06T19:30:19Z,0,12.2883,Flap,1,39,23.1,2025-05-21T10:57:16Z,45_best,1,4.3197488,52.5956673,1
5579_2024-06-25 05:05:46_2024-06-25 08:47:12.csv,5579,2024-06-25T06:27:53Z,0,9.4367,Flap,0.99,55,28.2,2025-05-21T10:56:04Z,45_best,1,4.1080804,52.4019645,1
5579_2024-06-27 03:58:22_2024-06-27 07:54:10.csv,5579,2024-06-27T06:25:27Z,0,9.3652,Flap,0.99,42,28.3,2025-05-21T10:55:34Z,45_best,1,4.1703648,52.5937998,1
5579_2024-07-01 01:49:26_2024-07-01 04:09:53.csv,5579,2024-07-01T03:02:57Z,0,12.8777,Manouvre,0.5,48,25.8,2025-05-21T10:54:49Z,45_best,1,4.2442539,52.402612,1
5579_2024-07-03 01:33:24_2024-07-03 04:14:12.csv,5579,2024-07-03T02:31:49Z,0,8.0877,Flap,0.99,34,24.4,2025-05-21T10:54:29Z,45_best,1,4.2345053,52.4042292,1
5579_2024-07-08 02:04:28_2024-07-08 04:06:35.csv,5579,2024-07-08T03:27:39Z,0,9.1905,Flap,0.99,43,25.2,2025-05-21T10:54:12Z,45_best,1,4.2216025,52.3932463,1
5579_2024-07-15 01:59:28_2024-07-15 03:31:22.csv,5579,2024-07-15T02:57:03Z,0,14.2347,Flap,0.99,31,25.2,2025-05-21T10:53:32Z,45_best,1,4.2453676,52.416997,1
5579_2024-07-20 03:04:37_2024-07-20 06:04:39.csv,5579,2024-07-20T03:53:07Z,0,10.9415,Flap,1,15,29.7,2025-05-21T10:53:04Z,45_best,1,4.1524052,52.6147651,1
5579_2024-07-23 01:53:12_2024-07-23 03:17:11.csv,5579,2024-07-23T02:41:29Z,0,6.9528,Flap,0.98,12,28.9,2025-05-21T10:52:53Z,45_best,1,4.2429238,52.417627,1
5615_2024-06-24 03:10:57_2024-06-24 06:33:35.csv,5615,2024-06-24T03:49:22Z,0,11.0467,Flap,1,62,24.7,2025-05-21T11:07:47Z,45_best,1,4.2084303,52.4185273,1
5615_2024-06-28 05:01:00_2024-06-28 07:40:42.csv,5615,2024-06-28T06:48:27Z,0,11.757,Flap,0.99,30,25,2025-05-21T11:07:41Z,45_best,1,4.1775995,52.5862562,0
5615_2024-06-30 02:21:43_2024-06-30 06:35:30.csv,5615,2024-06-30T03:19:50Z,0,13.324,Flap,1,41,26,2025-05-21T11:07:35Z,45_best,1,4.1534209,52.3174965,1
5615_2024-07-11 02:07:13_2024-07-11 04:28:17.csv,5615,2024-07-11T02:36:02Z,0,1.1311,Float,0.47,-1,25.7,2025-05-21T11:07:17Z,45_best,1,4.4551752,52.5963772,1
5615_2024-07-17 16:11:30_2024-07-17 20:23:27.csv,5615,2024-07-17T16:50:57Z,0,8.7217,Flap,1,44,26.5,2025-05-21T11:06:43Z,45_best,1,4.4298164,52.5971905,1
5615_2024-07-17 16:55:46_2024-07-17 20:04:18.csv,5615,2024-07-17T16:55:46Z,0,9.8586,Flap,1,39,26.5,2025-05-21T11:06:49Z,45_best,1,4.3967516,52.6059886,1
5615_2024-07-20 18:22:15_2024-07-20 20:24:33.csv,5615,2024-07-20T20:08:39Z,0,13.0073,Flap,1,38,28,2025-05-21T11:06:27Z,45_best,1,4.1572884,52.3252041,0
5717_2024-05-21 16:31:58_2024-05-21 19:36:26.csv,5717,2024-05-21T18:29:14Z,0,7.9576,Flap,0.99,2,24.5,2025-05-21T10:40:59Z,45_best,1,4.247139,52.4096435,0
5717_2024-06-25 05:15:31_2024-06-25 09:48:48.csv,5717,2024-06-25T08:02:42Z,0,0.6621,Float,0.97,0,38.9,2025-05-21T10:40:52Z,45_best,1,4.462659,52.5919507,0
5717_2024-07-31 04:15:53_2024-07-31 09:25:14.csv,5717,2024-07-31T04:18:25Z,0,0.709,Float,1,-3,29.2,2025-05-21T10:40:30Z,45_best,1,4.1924913,52.4158702,1
5717_2024-07-31 08:44:48_2024-07-31 19:28:23.csv,5717,2024-07-31T16:50:36Z,0,4.3399,Soar,0.96,26,29.5,2025-05-21T10:40:24Z,45_best,1,4.2508657,52.4173026,1
5965_2024-06-21 18:52:07_2024-06-21 20:58:19.csv,5965,2024-06-21T20:07:57Z,0,7.4467,Flap,0.99,35,31.7,2025-06-11T09:44:16Z,45_best,1,4.3623473,52.6304013,1
5965_2024-06-22 03:51:22_2024-06-22 05:31:00.csv,5965,2024-06-22T05:10:23Z,0,12.7862,Flap,1,35,32.2,2025-06-11T09:44:10Z,45_best,1,4.1826637,52.4260117,1
5965_2024-06-23 02:46:19_2024-06-23 03:52:11.csv,5965,2024-06-23T03:05:49Z,0,10.0095,Flap,1,43,30.1,2025-06-11T09:43:57Z,45_best,1,4.4638156,52.5946849,1
5965_2024-06-24 01:25:34_2024-06-24 02:58:38.csv,5965,2024-06-24T02:08:17Z,0,10.8695,Flap,0.99,16,31.4,2025-06-11T09:43:38Z,45_best,1,4.4580259,52.60966,1
5965_2024-06-25 18:02:43_2024-06-25 19:49:39.csv,5965,2024-06-25T19:05:31Z,0,9.7575,Flap,1,21,32,2025-06-11T09:43:29Z,45_best,1,4.1595142,52.5912796,1
5965_2024-06-27 03:14:31_2024-06-27 07:07:53.csv,5965,2024-06-27T03:48:23Z,0,7.7107,Flap,1,25,31.7,2025-06-11T09:43:20Z,45_best,1,4.4666988,52.6015724,1
5977_2024-05-05 19:39:04_2024-05-05 23:55:53.csv,5977,2024-05-05T23:46:18Z,0,1.1245,Pecking,0.28,0,35.9,2025-06-11T09:50:22Z,45_best,1,4.2052758,52.3468724,0
5977_2024-05-06 00:10:18_2024-05-06 03:37:51.csv,5977,2024-05-06T00:10:18Z,0,1.2321,Float,0.99,-3,37.1,2025-06-11T09:50:17Z,45_best,1,4.2040884,52.3614146,1
5977_2024-06-24 02:58:52_2024-06-24 04:48:27.csv,5977,2024-06-24T03:53:30Z,0,7.0473,Manouvre,0.61,-7,27.5,2025-06-11T09:49:19Z,45_best,1,4.2395312,52.4134459,0
