device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
5965,2024-06-22 10:12:00,0,6.6023,Flap,1.00,52.4430690,4.5460861,20,32.7,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:16:58,0,13.5835,Flap,1.00,52.4397590,4.5418326,39,31.2,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:21:57,0,5.6560,Flap,0.99,52.4353180,4.5442918,28,31.3,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:26:49,0,6.6016,Flap,0.99,52.4386651,4.5250409,29,31.4,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:31:37,0,6.4970,Flap,1.00,52.4282305,4.5079833,42,31.7,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:37:33,0,10.0597,Flap,1.00,52.4249161,4.4793139,41,32.8,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:38:06,0,11.1527,Flap,1.00,52.4281426,4.4778202,41,32.7,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:38:15,0,5.9072,Flap,1.00,52.4287057,4.4772719,38,32.8,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:38:24,0,7.8706,Flap,0.99,52.4291513,4.4765884,38,32.9,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:38:33,0,8.8045,Flap,1.00,52.4297507,4.4760639,39,33.0,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:38:42,0,9.2160,Flap,1.00,52.4304393,4.4756159,38,33.0,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:38:51,0,9.9332,Flap,1.00,52.4312695,4.4752253,35,33.0,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:39:00,0,9.7156,Flap,1.00,52.4320411,4.4748140,36,33.0,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:39:10,0,10.5254,Flap,1.00,52.4330104,4.4746290,35,33.1,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:39:19,0,10.8741,Flap,1.00,52.4339087,4.4744117,34,33.2,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:39:30,0,6.4685,Flap,0.99,52.4341843,4.4735285,30,33.2,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:39:39,0,7.1906,Flap,1.00,52.4344949,4.4727562,35,33.3,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:39:48,0,14.3411,Flap,1.00,52.4353189,4.4728888,41,33.3,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:39:57,0,16.6588,Flap,1.00,52.4363376,4.4741950,41,33.1,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:40:07,0,17.6250,Flap,1.00,52.4374098,4.4760605,43,33.0,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:40:16,0,18.0758,Flap,1.00,52.4383423,4.4778213,44,33.0,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:40:25,0,17.9240,Flap,1.00,52.4389288,4.4800065,45,33.1,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:40:34,0,16.8955,Flap,1.00,52.4389346,4.4823083,45,33.1,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:40:43,0,17.1870,Flap,1.00,52.4387548,4.4845364,47,33.1,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:40:52,0,17.0753,Flap,1.00,52.4385910,4.4867501,48,33.2,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:41:01,0,15.5421,Flap,1.00,52.4394081,4.4884392,47,33.3,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:41:10,0,15.4711,Flap,1.00,52.4404494,4.4894645,46,33.4,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:41:19,0,17.9302,Flap,1.00,52.4413218,4.4912762,47,33.4,2025-06-11 09:44:06,45_best
5965,2024-06-22 10:46:18,0,17.7089,Flap,1.00,52.4637700,4.5375035,31,33.2,2025-06-11 09:44:06,45_best
